,Unnamed: 0,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
3169,3169,0.0003539668311565174,0.004459355165268235,0.004298939448956587,0.025880440416167255,0.02397582288583641,0.0005990049215697855,0.008176574493344742,0.02307353881183976,0.05595626494216164,0.009308974290382677,0.007456698282171683,0.010424052821261943,0.004476486980040122,0.005440529829812961,0.008016346109298016,0.01400166338588738,0.009675314145548246,0.010023942997092656,0.052532759858936434,0.006280376760309947,0.0059481857575551245
3196,3196,0.0003553134747779163,0.007733484408175445,0.004530123183457378,0.033580126719191486,0.035903006148026606,0.0007904253105922367,0.007190463422324628,0.041608297175543235,1.3035151329555146,0.01224695918546397,0.009341592827794842,0.013974637447592595,0.0043693458640422156,0.007365582269037945,0.007537180141508859,0.02547383721789589,0.013894520891991604,0.022698151023438112,1.2958747330092746,0.0065215261629257395,0.007273984391899605
3324,3324,0.0003539661747248286,0.004460030764585135,0.004299019632026493,0.025882159928449004,0.02397825523201722,0.0005990551816251135,0.00817630790978872,0.02307601905395145,0.0559560373353488,0.009308590081175969,0.007456428328126822,0.010424549206908756,0.0044763156240682465,0.005440676602438802,0.008016033887782525,0.014003772214157766,0.009675365567170646,0.010024987717734251,0.052532520868117966,0.0062806386324539935,0.005948414861554051
3351,3351,0.0003553134936536207,0.007733246726025836,0.004530075596506046,0.03357949584872024,0.03590220435424184,0.0007904088794604879,0.007190388819886895,0.04160735108881509,1.3037419717354055,0.012246878436951778,0.00934155126469322,0.013974399743380371,0.004369353898187673,0.007365473783992322,0.00753717982141532,0.025472929417692445,0.013894324053074187,0.022697592614274467,1.2961016824033098,0.006521451142360773,0.007273880839711681
3570,3570,0.0003539659396943179,0.00446127956956005,0.00429935893334539,0.025886492448037157,0.023983680013266256,0.0005991560770778456,0.008175663957822179,0.02308162509026453,0.05598290040013431,0.009308717909691093,0.007456588442869872,0.010426042090347202,0.0044762741485368865,0.005441254832648318,0.008016005928109414,0.014007882138336123,0.00967626783697794,0.010027764969549857,0.052556967502560455,0.0062812982192668575,0.005948956321764725
3828,3828,0.0003553136451765614,0.007727110806181443,0.004528818536695422,0.033563000676096244,0.03588119442785557,0.0007899880613701998,0.0071883917904189435,0.04158180836867832,1.3111031728988234,0.01224414377870564,0.00934005698874647,0.013968051104655687,0.004369419955573693,0.007362396193166152,0.007537169544794294,0.025449225616025282,0.013888657141084426,0.022682161377533348,1.3034655909116462,0.006519524315105474,0.0072711185513593905
3875,3875,0.0003539658420454629,0.0044615015655740655,0.004299376900016776,0.025887099936550192,0.02398462910663014,0.000599171634415803,0.008175512387069149,0.0230829008112914,0.05598854337416968,0.00930890353916668,0.0074567318170242905,0.01042631231561465,0.004476278027434245,0.005441389138583054,0.008015954341913746,0.014008622915369721,0.00967654503606936,0.010028506572762072,0.05256247272581322,0.006281339472675858,0.005949058702077313
3985,3985,0.00035531367256483553,0.007729832651873981,0.004529378214786009,0.033570345075940485,0.0358905849653962,0.0007901737458389322,0.0071892945690378764,0.04159342209394952,1.307398590941074,0.01224552104630872,0.009340828521886876,0.013970916800634522,0.004369431080545393,0.007363828835876575,0.0075372250029728015,0.025459815163183536,0.013891300508709578,0.02268926940706941,1.2997598199506986,0.00652036987415551,0.007272364243280985
4178,4178,0.0003539657032751833,0.004462765650429661,0.004299776394101964,0.02589143434966088,0.0239900542079741,0.0005992657305303847,0.008174576770148836,0.023088601960234045,0.05603307352230293,0.00930964492385637,0.007457360256623819,0.01042812732568212,0.00447640502367992,0.005442104264696338,0.0080161709449586,0.014012983778695202,0.009677992832981435,0.010031540456334991,0.05260284350072633,0.006281895860169735,0.005949662011850942
4251,4251,0.000353965919167614,0.004461513171129868,0.004299399472758799,0.025887228000948725,0.02398473521981025,0.0005991728129895857,0.008175486119712609,0.023082979434037303,0.05599152418884972,0.009308970594033269,0.007456784052215514,0.01042637514616097,0.004476301757355187,0.00544141597111296,0.008016009946698394,0.014008681061951987,0.009676620260103914,0.010028565627922184,0.05256512510708662,0.0062813588205529545,0.005949071268128272
4333,4333,0.00035531349180022127,0.007733665259737011,0.004530161381626946,0.033580612746716774,0.03590363560564872,0.0007904374692766285,0.00719052757033437,0.04160911409090673,1.3032069912974666,0.012247075210964686,0.009341657730485429,0.013974832606535923,0.004369352867258211,0.00736568593853313,0.0075371882281872644,0.025474555446071308,0.013894716313435085,0.02269866676312321,1.29556651502783,0.00652157965386058,0.007274070343145618
4445,4445,0.00035396613941531034,0.004460463914518627,0.004299140701950773,0.02588369210024681,0.023980181882084325,0.0005990899030092374,0.008176065181128216,0.023078075544548462,0.05596752405173918,0.009308725806348348,0.007456551863635263,0.010425105015529986,0.004476320971910512,0.005440902165954207,0.008016051166089734,0.014005212837809871,0.009675757772863084,0.010026053751879763,0.05254304561759169,0.006280858489281805,0.005948610554982183
4460,4460,0.0003553135415678357,0.0077270972848888266,0.004528814352740858,0.033562932376594766,0.035881065154614145,0.0007899882672769187,0.007188365727274719,0.04158143688590486,1.3115766777898226,0.012243960422213243,0.009339940248471528,0.013967987341910985,0.0043693779896002895,0.007362310270443335,0.007537112287375478,0.02544909292618421,0.013888503099724355,0.02268183844333312,1.303939092446377,0.006519528371889886,0.007271090165848503
4461,4461,0.0004153376475652886,0.0022181580470421085,0.005850390353350481,0.024277519020966237,0.018387616962387877,0.0006179239210804385,0.003129304782916941,0.007093157579939642,0.047822738182755564,0.045123693499693085,0.0375814186168629,0.023663553338811368,0.01650798665373641,0.008778001986511113,0.035856232650181626,0.005639144832182507,0.04884697126620821,0.01141292066358962,0.053201940219147835,0.011242127917581606,0.0022494445097305527
4623,4623,0.0003539657348488488,0.004462305720180336,0.0042996601655445575,0.02588984102691851,0.02398799271805103,0.000599229399771909,0.008174855355578797,0.023086302510742784,0.05602047548384094,0.009309435615271668,0.007457184171258369,0.01042753151595284,0.004476391100357257,0.005441848563278105,0.008016163392669478,0.0140114430322448,0.009677529851549807,0.010030311514682705,0.052591164360416234,0.006281683722663214,0.005949450654664482
4700,4700,0.00035531349009638807,0.0077335500409736685,0.004530136810935394,0.03358030338772202,0.0359032410274617,0.0007904299156534266,0.007190487024242487,0.04160862637592616,1.3033677663301926,0.012247016891805755,0.009341627969184613,0.013974713897772013,0.004369351957656651,0.007365626534237804,0.007537177181149726,0.02547410672075141,0.013894607719274059,0.02269836189586716,1.295727340721103,0.0065215466643105645,0.007274017144475566
4791,4791,0.0004153386674676591,0.002218143263221641,0.005850479593556232,0.02427772827999053,0.018387946726462368,0.0006179359866163716,0.003129328093821992,0.007093266431150272,0.04782430030869207,0.04512409634858578,0.03758132188650632,0.02366350741598133,0.01650819582205766,0.008778016774580363,0.035856700301019555,0.005639127703616226,0.04884724580845298,0.011413154738542205,0.0532032894600736,0.011242455424400524,0.0022494372560881303
4837,4837,0.00035531335673478587,0.007727698421780305,0.00452893137455781,0.033564479034289205,0.03588298547603445,0.000790029984225682,0.007188533430332417,0.04158344724680396,1.3115486441727275,0.012243959771946674,0.009339910540758264,0.01396852535298466,0.004369303126000614,0.007362502189829236,0.007537040141936469,0.025451277007854045,0.013888847513961664,0.022682911147257852,1.3039107871707425,0.00651972171369974,0.0072713240158791955
5118,5118,0.0003539657404292,0.00446250809899781,0.0042997002833400615,0.025890575390251528,0.023988959204578744,0.0005992467683008911,0.008174771904856434,0.023087438749588945,0.05602428035243262,0.009309495147418988,0.00745723404086375,0.010427765716779985,0.004476380964999072,0.005441959577251106,0.008016134543305662,0.014012094722350477,0.00967770152166466,0.010030921218409415,0.052594859494356466,0.006281788557972121,0.005949540198894713
5392,5392,0.000353965923819092,0.004461990403707724,0.004299565388505063,0.02588923462623442,0.02398699037290983,0.0005992209392831016,0.008175438761434449,0.023084995856594702,0.055992826233028405,0.009308604769780276,0.007456545457348035,0.010426851274012869,0.004476217178847239,0.005441574595542657,0.008015962123841295,0.01401015596864103,0.009676629785586305,0.0100293645412922,0.05256611927266122,0.0062817924624895185,0.005949264844423928
5420,5420,0.00035396622137399904,0.00446170610379807,0.0042995338144152725,0.0258882107958989,0.02398579112700516,0.0005991860216750532,0.008175226324444217,0.023084044221257254,0.0560127559979538,0.009309462692880958,0.007457175323973088,0.010426889647679448,0.004476435502671554,0.005441632797210182,0.008016291292058384,0.014009442263878092,0.009677210075455946,0.010029275571049202,0.05258424229479364,0.00628145919175016,0.0059491998048811605
5525,5525,0.00035531349472652315,0.007734369587560619,0.004530307121498107,0.033582517245693944,0.035906054668444785,0.0007904858129113144,0.007190762026766389,0.041612082004605436,1.3022786014494676,0.012247427957558324,0.009341854592917562,0.013975577464296365,0.004369353209774554,0.007366049088339498,0.0075371877728664565,0.02547729469869849,0.01389540097198087,0.0227004712577788,1.2946378247587156,0.006521803220196046,0.007274389803563437
5543,5543,0.00035396605924128396,0.004460592774082771,0.004299154368338205,0.025884031180187908,0.0239806938334468,0.0005990987257729307,0.00817598274551555,0.023078702796308703,0.05597013826956625,0.009308781519900526,0.007456595411502509,0.010425245228381131,0.004476313708486795,0.005440963303173872,0.008016018095765302,0.014005636088520896,0.009675876469155423,0.010026396289209429,0.0525455396034114,0.006280887480859296,0.0059486643400840184
